"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 11 17:12:44 GMT 2022","Mon Jul 11 17:12:46 GMT 2022","1879","","requirements.DataListingTests","","requirements.DataListingTests","testDataListingOnFirstBlogPage","repetition 2 of 3",""
"passed","Mon Jul 11 17:12:32 GMT 2022","Mon Jul 11 17:12:34 GMT 2022","2223","","requirements.DataModifyingTests","","requirements.DataModifyingTests","testDataModifyingProfile","repetition 2 of 3",""
"passed","Mon Jul 11 17:14:22 GMT 2022","Mon Jul 11 17:14:34 GMT 2022","11687","","requirements.LoginTests","","requirements.LoginTests","testLoginEverythingIsFilled","repetition 1 of 3",""
"passed","Mon Jul 11 17:12:13 GMT 2022","Mon Jul 11 17:12:15 GMT 2022","1720","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsClose","repetition 1 of 3",""
"passed","Mon Jul 11 17:12:42 GMT 2022","Mon Jul 11 17:12:44 GMT 2022","1938","","requirements.DataListingTests","","requirements.DataListingTests","testDataListingOnFirstBlogPage","repetition 1 of 3",""
"passed","Mon Jul 11 17:11:45 GMT 2022","Mon Jul 11 17:12:01 GMT 2022","15006","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","testDataInputOnLoginRepeatedlyAndContinuouslyFromDatasource","repetition 3 of 3",""
"passed","Mon Jul 11 17:14:21 GMT 2022","Mon Jul 11 17:14:22 GMT 2022","1219","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsEmpty","repetition 3 of 3",""
"failed","Mon Jul 11 17:13:18 GMT 2022","Mon Jul 11 17:13:20 GMT 2022","1584","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsEmpty","repetition 2 of 3",""
"passed","Mon Jul 11 17:12:48 GMT 2022","Mon Jul 11 17:12:49 GMT 2022","993","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsFilled","repetition 1 of 3",""
"passed","Mon Jul 11 17:14:46 GMT 2022","Mon Jul 11 17:14:57 GMT 2022","11575","","requirements.LoginTests","","requirements.LoginTests","testLoginEverythingIsFilled","repetition 3 of 3",""
"failed","Mon Jul 11 17:13:13 GMT 2022","Mon Jul 11 17:13:15 GMT 2022","1607","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutDot","repetition 2 of 3",""
"passed","Mon Jul 11 17:12:40 GMT 2022","Mon Jul 11 17:12:42 GMT 2022","2087","","requirements.DataDeleteTests","","requirements.DataDeleteTests","testDataDeleteAccount","repetition 3 of 3",""
"passed","Mon Jul 11 17:15:15 GMT 2022","Mon Jul 11 17:15:20 GMT 2022","4373","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputCheckboxIsEmpty","repetition 1 of 3",""
